ninja: Entering directory `/home/chris/Source/libBICOS/builddir'
ninja: no work to do.
1/1 cuda RUNNING       
>>> MSAN_OPTIONS=halt_on_error=1:abort_on_error=1:print_summary=1:print_stacktrace=1 ASAN_OPTIONS=halt_on_error=1:abort_on_error=1:print_summary=1 UBSAN_OPTIONS=halt_on_error=1:abort_on_error=1:print_summary=1:print_stacktrace=1 MESON_TEST_ITERATION=1 /home/chris/Source/libBICOS/builddir/bench_cuda '--benchmark_context=available_gpus=NVIDIA GeForce RTX 4090'
――――――――――――――――――――――――――――――――――――― ✀  ―――――――――――――――――――――――――――――――――――――
---------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                       Time             CPU   Iterations
bench_descriptor_transform_kernel<uint16_t, uint64_t, TransformMode::LIMITED>              369282 ns       368890 ns        10000
bench_descriptor_transform_kernel<uint8_t, uint128_t, TransformMode::LIMITED>             1021669 ns      1021345 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint128_t, TransformMode::LIMITED>            1065017 ns      1063775 ns        10000
bench_descriptor_transform_kernel<uint8_t, uint32_t, TransformMode::FULL>                  201090 ns       201024 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint32_t, TransformMode::FULL>                 212295 ns       212096 ns        10000
bench_descriptor_transform_kernel<uint8_t, uint64_t, TransformMode::FULL>                  369147 ns       369031 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint64_t, TransformMode::FULL>                 373482 ns       372789 ns        10000
bench_descriptor_transform_kernel<uint8_t, uint128_t, TransformMode::FULL>                1135806 ns      1135442 ns        10000
bench_descriptor_transform_kernel<uint16_t, uint128_t, TransformMode::FULL>               1144902 ns      1144536 ns        10000
bench_integration/6/0                                                                    10912316 ns     10907784 ns           62
bench_integration/8/0                                                                    14173859 ns     14168175 ns           48
bench_integration/12/0                                                                   25169678 ns     25160539 ns           27
bench_integration/16/0                                                                   52801442 ns     52781762 ns           10
bench_integration/6/25                                                                   11893258 ns     11888121 ns           57
bench_integration/8/25                                                                   15602707 ns     15596450 ns           43
bench_integration/12/25                                                                  28250872 ns     28239946 ns           24
bench_integration/16/25                                                                  56845219 ns     56824038 ns           13
bench_integration/6/20                                                                   11973994 ns     11969194 ns           56
bench_integration/8/20                                                                   15805107 ns     15798606 ns           43
bench_integration/12/20                                                                  28676323 ns     28665436 ns           24
bench_integration/16/20                                                                  57347022 ns     57327372 ns           13
bench_integration/6/15                                                                   12123192 ns     12118240 ns           55
bench_integration/8/15                                                                   16276856 ns     16270225 ns           42
bench_integration/12/15                                                                  29470209 ns     29459928 ns           23
bench_integration/16/15                                                                  57992584 ns     57970566 ns           13
bench_integration/6/10                                                                   12514691 ns     12509631 ns           54
bench_integration/8/10                                                                   16976314 ns     16970302 ns           40
bench_integration/12/10                                                                  30964912 ns     30952991 ns           22
bench_integration/16/10                                                                  60136855 ns     60115635 ns           12
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1/1 cuda OK             294.46s


Ok:                 1   
Expected Fail:      0   
Fail:               0   
Unexpected Pass:    0   
Skipped:            0   
Timeout:            0   

